file,status,round,proved,total,elapsed_sec,tokens,error
array-cav19_array_doub_access_init_const,error,0,0,0,0,0,agent异常: sub-agent did not write any output
array-cav19_array_init_both_ends_multiple_sum,error,0,0,0,0,0,agent异常: sub-agent did not write any output
array-cav19_array_init_nondet_vars,pass,1,22,22,18.5,8000,
array-cav19_array_init_pair_sum_const,pass,1,36,36,3.156,5000,
array-cav19_array_init_pair_symmetr,pass,1,33,33,2.563,12000,
array-cav19_array_init_var_plus_ind,pass,1,22,22,19.122,12400,
array-cav19_array_init_var_plus_ind2,pass,1,24,24,19.3,18000,
array-cav19_array_init_var_plus_ind3,pass,2,22,22,18.84,5000,
array-cav19_array_tiling_poly6,pass,1,30,30,2.974,8000,
array-cav19_array_tiling_tcpy,pass,1,24,24,22.0,5000,
array-cav19_array_tripl_access_init_const,pass,1,20,20,19.315,15000,
array-crafted_bAnd1,pass,3,28,28,2.347,12000,
array-crafted_bAnd2,pass,1,26,26,150,15000,
array-crafted_bAnd3,pass,4,24,24,250,13000,
array-crafted_bAnd4,pass,3,31,31,120,15000,
array-crafted_bAnd5,pass,3,30,30,143,20000,
array-crafted_bor1,pass,2,20,20,18.94,9500,
array-crafted_bor2,pass,1,24,24,1.996,8000,
array-crafted_bor3,pass,1,24,24,2.093,3500,
array-crafted_bor4,pass,4,26,26,88,25000,
array-crafted_mapavg1,pass,5,33,33,2.707,12000,
array-crafted_mapavg2,pass,2,26,26,35,15000,
array-crafted_mapavg3,pass,2,21,21,21,10000,
array-crafted_mapavg4,pass,5,32,32,2.032,18000,
array-crafted_mapsum1,pass,4,31,31,2.65,20000,
array-crafted_mapsum2,fail,4,29,30,306.0,185000,"Assertion line 67: ret==ret2&&ret==ret5 times out (Z3/Alt-Ergo 120s). Requires proving mapsum_val(x,N) invariant under swap and rotation of x, which needs 1000-level recursive function expansion beyond solver capacity."
array-crafted_mapsum3,pass,1,23,23,2.079,6500,
array-crafted_mapsum4,pass,3,31,31,2.434,40000,
array-crafted_xor1,pass,1,26,26,2.037,7000,
array-crafted_xor2,pass,2,30,30,19.3,15000,
array-crafted_xor3,pass,3,23,23,55,15000,
array-crafted_xor4,pass,1,24,24,1.516,15000,
array-crafted_zero_sum_const1,pass,1,28,28,2.541,2800,
array-crafted_zero_sum_const2,pass,1,46,46,3.75,5000,
array-crafted_zero_sum_const3,pass,1,64,64,4.842,3500,
array-crafted_zero_sum_const4,pass,1,82,82,5.963,8000,
array-crafted_zero_sum_const5,pass,1,100,100,7.312,7000,
array-crafted_zero_sum_const_m2,pass,1,46,46,5.2,3500,
array-crafted_zero_sum_const_m3,pass,1,64,64,15,6000,
array-crafted_zero_sum_const_m4,pass,1,82,82,6.036,6000,
array-crafted_zero_sum_const_m5,pass,1,100,100,7.269,5000,
array-examples_data_structures_set_multi_proc_ground-2,pass,1,70,70,4.474,10000,
array-examples_data_structures_set_multi_proc_trivial_ground,pass,1,82,82,3.73,4000,
array-examples_sanfoundry_02_ground,pass,1,32,32,3.051,6000,
array-examples_sanfoundry_10_ground,pass,1,34,34,3.251,2800,
array-examples_sanfoundry_24-1,fail,1,15,17,16.674,4500,"Two assertions (lines 31,43) cannot be proved: assert((i % 2) == 0) and assert((i % 2) != 0) are not universally true because array[i] is filled with unknown() values with no relationship to i parity"
array-examples_sanfoundry_27_ground,pass,1,22,22,5,2500,
array-examples_sorting_selectionsort_ground-2,pass,2,62,62,4.46,25000,
array-examples_standard_compareModified_ground,pass,2,32,32,34.882,15000,
array-examples_standard_compare_ground,pass,1,22,22,2.482,12000,
array-examples_standard_copy1_ground-1,pass,1,20,20,2.2,5000,
array-examples_standard_copyInitSum3_ground,pass,1,48,48,25,5000,
array-examples_standard_copyInitSum_ground,pass,1,35,35,3.033,4000,
array-examples_standard_copyInit_ground,pass,1,24,24,2.777,1800,
array-examples_standard_find_ground-1,pass,1,20,20,2.044,8000,
array-examples_standard_init2_ground-2,pass,1,24,24,2.226,5632,
array-examples_standard_init3_ground-2,pass,0,33,33,2.779,6000,
array-examples_standard_maxInArray_ground,pass,1,20,20,1.89,6000,
array-examples_standard_minInArray_ground-2,pass,1,20,20,1.899,3000,
array-examples_standard_palindrome_ground,pass,1,21,21,1.889,1500,
array-examples_standard_partial_init_ground,pass,1,42,42,3.708,8000,
array-examples_standard_partition_original_ground,pass,1,36,36,3.102,15000,
array-examples_standard_password_ground,pass,2,24,24,19.145,4000,
array-examples_standard_reverse_ground,pass,1,20,20,1.852,8500,
array-examples_standard_sentinel-2,pass,1,13,13,1.642,3000,
array-examples_standard_seq_init_ground,pass,1,15,15,1.774,2000,
array-examples_standard_two_index_01,pass,1,28,28,2.232,8000,
array-examples_standard_two_index_02,pass,1,29,29,2.207,4000,
array-examples_standard_two_index_03,pass,1,24,24,1.997,3500,
array-examples_standard_two_index_04,pass,2,28,28,2.153,7500,
array-examples_standard_vararg_ground,pass,2,20,20,1.936,2500,
array-examples_standard_vector_difference_ground,pass,1,20,20,1.922,4000,
array-fpi_brs1,pass,1,21,21,2.196,4000,
array-fpi_brs2,pass,1,21,21,2.298,2500,
array-fpi_brs3,pass,1,21,21,2.274,3000,
array-fpi_conda,pass,1,32,32,2.916,5000,
array-fpi_condg,pass,2,41,41,21.185,18000,
array-fpi_condm,pass,1,30,30,5.0,5000,
array-fpi_condn,pass,1,26,26,2.411,2500,
array-fpi_eqn1,pass,1,29,29,2.88,15000,
array-fpi_eqn2,pass,1,29,29,2.996,3500,
array-fpi_eqn3,pass,1,31,31,5,5000,
array-fpi_eqn4,pass,1,31,31,3.352,8000,
array-fpi_eqn5,pass,1,29,29,2.943,6875,
array-fpi_ifcomp,pass,1,49,49,5.112,5000,
array-fpi_ifeqn1,pass,1,33,33,3.229,5000,
array-fpi_ifeqn2,pass,1,31,31,2.815,5000,
array-fpi_ifeqn3,fail,11,31,33,64.987,98000,2 timeouts: loop_inv_5_preserved (relational b invariant) and assert_3 (b closed form after loop 2)
array-fpi_ifeqn4,pass,10,29,29,128,12000,
array-fpi_ifeqn5,pass,1,31,31,4.456,5000,
array-fpi_ifncomp,pass,5,45,45,100,65000,
array-fpi_indp1,pass,1,40,40,3.542,2500,
array-fpi_indp2,pass,1,40,40,4.2,12000,
array-fpi_indp3,pass,1,51,51,7,4000,
array-fpi_indp4,pass,1,40,40,4.072,4500,
array-fpi_indp5,pass,1,53,53,4.286,5500,
array-fpi_modn,pass,1,27,27,3.1,4000,
array-fpi_modp,pass,1,27,27,2.322,2000,
array-fpi_mods,pass,1,53,53,4.195,4500,
array-fpi_ms1,pass,1,20,20,2.146,4200,
array-fpi_ms2,pass,1,20,20,2.09,5000,
array-fpi_ms3,pass,1,20,20,2.433,5000,
array-fpi_ms4,pass,1,20,20,2.151,4500,
array-fpi_ms5,pass,2,20,20,2.43,3000,
array-fpi_ncomp,pass,5,48,48,125.778,28000,
array-fpi_nsqm,pass,1,29,29,3.439,3000,
array-fpi_nsqm-if,pass,4,30,30,2.616,8000,
